1609455600000,29100.83000000
1609459200000,28923.63000000
1609462800000,28995.13000000
1609466400000,29410.00000000
1609470000000,29195.25000000
1609473600000,29278.41000000
1609477200000,29220.31000000
1609480800000,29187.01000000
1609484400000,29174.35000000
1609488000000,29092.84000000
1609491600000,29000.01000000
1609495200000,29202.21000000
1609498800000,29223.82000000
1609502400000,29313.49000000
1609506000000,29233.49000000
1609509600000,29464.79000000
1609513200000,29327.83000000
1609516800000,29188.67000000
1609520400000,29300.79000000
1609524000000,29077.59000000
1609527600000,29072.70000000
1609531200000,29029.04000000
1609534800000,29200.97000000
1609538400000,29163.17000000
1609542000000,29262.32000000
1609545600000,29331.70000000
1609549200000,29197.93000000
1609552800000,29359.46000000
1609556400000,29323.82000000
1609560000000,29351.95000000
1609563600000,29349.63000000
1609567200000,29589.99000000
1609570800000,29709.06000000
1609574400000,29751.47000000
1609578000000,29844.52000000
1609581600000,29612.88000000
1609585200000,29679.51000000
1609588800000,29754.99000000
1609592400000,30604.03000000
1609596000000,31546.06000000
1609599600000,31290.53000000
1609603200000,31691.09000000
1609606800000,32484.28000000
1609610400000,32856.95000000
1609614000000,32999.98000000
1609617600000,33027.20000000
1609621200000,30669.43000000
1609624800000,31693.53000000
1609628400000,32143.53000000
1609632000000,32176.45000000
1609635600000,32447.95000000
1609639200000,32583.04000000
1609642800000,32741.68000000
1609646400000,32576.11000000
1609650000000,33192.53000000
1609653600000,33758.67000000
1609657200000,33967.13000000
1609660800000,34451.78000000
1609664400000,34367.35000000
1609668000000,34189.98000000
1609671600000,33877.96000000
1609675200000,34413.53000000
1609678800000,34103.73000000
1609682400000,33877.98000000
1609686000000,33811.54000000
1609689600000,33505.15000000
1609693200000,32676.75000000
1609696800000,32907.51000000
1609700400000,32769.79000000
1609704000000,32775.10000000
1609707600000,33725.72000000
1609711200000,33559.06000000
1609714800000,33119.14000000
1609718400000,33000.05000000
1609722000000,32843.89000000
1609725600000,33191.05000000
1609729200000,33454.21000000
1609732800000,33505.15000000
1609736400000,33257.56000000
1609740000000,32813.01000000
1609743600000,33100.02000000
1609747200000,32068.84000000
1609750800000,32045.15000000
1609754400000,31038.35000000
1609758000000,30270.76000000
1609761600000,30742.99000000
1609765200000,31219.03000000
1609768800000,31400.00000000
1609772400000,32113.68000000
1609776000000,31745.71000000
1609779600000,31320.30000000
1609783200000,31022.25000000
1609786800000,31165.16000000
1609790400000,31665.52000000
1609794000000,31244.97000000
1609797600000,31014.27000000
1609801200000,31332.05000000
1609804800000,31989.75000000
1609808400000,32430.69000000
1609812000000,32786.05000000
1609815600000,32306.64000000
1609819200000,31190.04000000
1609822800000,30858.98000000
1609826400000,30436.26000000
1609830000000,31123.25000000
1609833600000,30817.78000000
1609837200000,31192.16000000
1609840800000,31569.63000000
1609844400000,31347.73000000
1609848000000,31776.66000000
1609851600000,31585.00000000
1609855200000,31460.11000000
1609858800000,32343.61000000
1609862400000,32099.97000000
1609866000000,32469.90000000
1609869600000,32742.73000000
1609873200000,33372.83000000
1609876800000,33693.80000000
1609880400000,33968.66000000
1609884000000,33699.63000000
1609887600000,34183.43000000
1609891200000,33949.53000000
1609894800000,33918.01000000
1609898400000,33811.28000000
1609902000000,33873.30000000
1609905600000,34116.76000000
1609909200000,35326.82000000
1609912800000,34977.27000000
1609916400000,35125.49000000
1609920000000,34666.80000000
1609923600000,34596.08000000
1609927200000,33919.50000000
1609930800000,34417.37000000
1609934400000,34918.54000000
1609938000000,34929.87000000
1609941600000,34549.99000000
1609945200000,34213.58000000
1609948800000,34566.18000000
1609952400000,34615.98000000
1609956000000,34898.52000000
1609959600000,35215.75000000
1609963200000,34818.95000000
1609966800000,36015.16000000
1609970400000,35869.97000000
1609974000000,35989.64000000
1609977600000,36769.36000000
1609981200000,37150.66000000
1609984800000,36871.47000000
1609988400000,36962.37000000
1609992000000,37452.62000000
1609995600000,37450.95000000
1609999200000,37347.20000000
1610002800000,37130.85000000
1610006400000,36863.04000000
1610010000000,37217.55000000
1610013600000,37492.70000000
1610017200000,37045.45000000
1610020800000,37825.64000000
1610024400000,37941.37000000
1610028000000,38161.60000000
1610031600000,38450.51000000
1610035200000,38970.41000000
1610038800000,39120.01000000
1610042400000,39732.92000000
1610046000000,38907.58000000
1610049600000,39061.99000000
1610053200000,39111.34000000
1610056800000,39687.11000000
1610060400000,39666.00000000
1610064000000,39432.48000000
1610067600000,38793.24000000
1610071200000,38681.38000000
1610074800000,37181.74000000
1610078400000,38347.11000000
1610082000000,38668.92000000
1610085600000,37980.53000000
1610089200000,38538.99000000
1610092800000,38929.56000000
1610096400000,38648.96000000
1610100000000,39358.99000000
1610103600000,40722.71000000
1610107200000,41286.67000000
1610110800000,41318.03000000
1610114400000,41313.24000000
1610118000000,41454.13000000
1610121600000,40829.07000000
1610125200000,41303.41000000
1610128800000,41009.08000000
1610132400000,39920.67000000
1610136000000,40365.09000000
1610139600000,39062.88000000
1610143200000,40075.82000000
1610146800000,40672.02000000
1610150400000,40586.96000000
1610154000000,40286.09000000
1610157600000,40196.51000000
1610161200000,39973.00000000
1610164800000,40209.91000000
1610168400000,40206.43000000
1610172000000,39293.41000000
1610175600000,38978.46000000
1610179200000,39639.21000000
1610182800000,40167.54000000
1610186400000,40348.36000000
1610190000000,40376.03000000
1610193600000,40565.77000000
1610197200000,40874.99000000
1610200800000,41051.66000000
1610204400000,40819.01000000
1610208000000,40525.16000000
1610211600000,39995.09000000
1610215200000,40421.40000000
1610218800000,40650.00000000
1610222400000,40665.91000000
1610226000000,40610.35000000
